config,seed,lam,ent_coef,net_arch,win_rate_vs_tcp_genuine,mean_diff,p_value
C1,100,0.5,0.01,128,75.8,+20.5445,9.768e-32
C1,200,0.5,0.01,128,74.8,+19.5693,2.34e-30
C2,100,0.5,0.01,64,76.4,+21.0956,2.979e-31
C2,200,0.5,0.01,64,74.2,+20.7900,4.798e-30
C3,100,0.5,0.05,128,77.4,+20.4138,4.788e-33
C3,200,0.5,0.05,128,73.4,+20.2495,2.695e-27
C4,100,0.5,0.05,64,74.4,+20.2064,2.347e-30
C4,200,0.5,0.05,64,74.8,+20.2266,6.33e-29
C5,100,2.0,0.01,128,73.8,+14.1323,3.245e-17
C5,200,2.0,0.01,128,76.0,+19.0194,3.364e-24
C6,100,2.0,0.01,64,73.2,+16.0324,7.068e-18
C6,200,2.0,0.01,64,74.8,+18.6701,1.685e-23
C7,100,2.0,0.05,128,72.0,+12.4997,2.339e-16
C7,200,2.0,0.05,128,74.4,+18.2471,9.421e-19
C8,100,2.0,0.05,64,74.6,+17.8857,2.807e-22
C8,200,2.0,0.05,64,74.8,+19.7867,2.523e-25
baseline_seed0_v3,0,1.0,0.01,128,74.0,+20.1992,2.65e-26
baseline_seed1_v3,1,1.0,0.01,128,76.2,+20.1829,2.067e-28
baseline_seed2_v3,2,1.0,0.01,128,79.2,+20.7250,5.131e-32
